# episodes,genre,network,rating,s_rating,title,cast
20,"['9g', '23g']",KBS,9.51,PG-13,Neighborhood Lawyer Jo Deul Ho,
176,"['1042g', '1044g', '10g', '6g']",KBS,8.48,PG-13,Happy Together,
24,"['23g', '24g', '1041g', '9g', '18g']",MBC,8.93,PG-13,"My Husband, Mr. Oh!",
50,"['24g', '6g', '18g', '9g', '23g']",MBC,9.23,PG-13,"Bad Thief, Good Thief",
20,"['23g', '18g', '9g']",KBS2,8.73,PG-13,Babyfaced Beauty,
22,"['1038g', '1040g', '19g', '23g', '25g', '9g']",MBC,8.84,PG-13,Dr. Jin,
61,"['9g', '23g', '18g', '1041g', '24g']",SBS,8.43,PG-13,Our Gap Soon,
32,"['23g', '6g', '9g', '18g']",SBS Plus,8.75,PG-13,Full House Take 2,
16,"['23g', '18g', '9g', '1038g', '1041g']",SBS,9.2,PG-13,"That Winter, The Wind Blows",
38,"['18g', '23g', '9g']",MBC,9.15,PG-13,May Queen,
24,"['19g', '23g', '25g']",MBC,8.63,PG-13,The Night Watchman,
40,"['6g', '23g', '1046g']",MBC,9.36,PG-13,The Legendary Witch,
18,"['23g', '26g', '9g', '7g', '1038g']",SBS,9.72,PG-13,Defendant,
32,"['9g', '23g', '7g', '26g']",MBC,8.94,PG-13,Partners for Justice,
24,"['1g', '18g', '19g', '23g', '25g', '1038g']",MBC,9.6,PG-13,Gu Family Book,
24,"['1g', '23g', '25g', '9g']",KBS2,9.42,PG-13,Inspiring Generation,
20,"['1037g', '23g', '18g', '12g', '19g', '9g', '26g']",MBC,9.42,PG-13,The Scholar Who Walks the Night,
17,"['7g', '18g', '9g', '23g', '1041g', '26g']",SBS,9.39,PG-13,Whisper,
32,"['9g', '23g', '7g', '18g', '1g']",MBC,8.73,PG-13,Two Cops,
20,"['9g', '18g', '23g', '1041g']",SBS,9.08,PG-13,Angel Eyes,
14,"['17g', '23g', '9g', '18g', '1038g']",Channel A,8.75,PG-13,K-POP Extreme Survival,
13,"['9g', '23g', '6g', '18g']",KBS,8.35,PG-13,THE Producers,
32,"['24g', '18g', '23g', '9g']",KBS,9.15,PG-13,Matrimonial Chaos,
18,"['6g', '23g', '9g', '18g']",SBS,9.12,PG-13,Protect the Boss,
20,"['9g', '23g', '1038g', '1040g']",MBC,8.96,PG-13,Medical Top Team,
16,"['23g', '18g', '9g', '6g']",KBS,8.89,PG-13,My Fair Lady,
32,"['1053g', '23g', '9g']",MBC,8.52,PG-13,Feast of the Gods,
34,"['26g', '7g', '9g', '23g']",SBS,8.7,PG-13,Return,
16,"['18g', '9g', '23g']",KBS,9.42,PG-13,On the Way to the Airport,
20,"['6g', '23g', '9g', '18g', '19g', '1038g']",SBS,9.4,PG-13,Rooftop Prince,
18,"['9g', '23g', '6g', '17g', '1038g']",SBS,9.18,PG-13,Entertainer,
10,"['18g', '19g', '23g', '6g']",tvN,8.62,PG-13,Surplus Princess,
22,"['9g', '18g', '25g', '23g', '1037g', '1g']",KBS,9.2,PG-13,Gunman In Joseon,
3,"['1045g', '1047g', '23g', '9g']",KBS,9.59,PG-13,Page Turner,
44,"['18g', '23g', '9g']",MBC,9.08,PG-13,Kimcheed Radish,
13,"['1044g', '10g']",SBS,9.09,PG-13,The Master Key,
16,"['9g', '18g', '23g', '1041g']",JTBC,9.2,PG-13,Secret Love Affair,
12,"['6g', '9g', '1038g', '23g']",KBS,9.58,PG-13,Cheer Up!,
24,"['6g', '18g', '23g', '9g', '1038g']",tvN,9.03,PG-13,Reply 1994,
16,"['9g', '23g']",MBC ,9.47,PG-13,Thank You,
17,"['1044g', '10g']",KBS,9.28,PG-13,The Unit,
26,"['1038g', '23g', '26g', '7g', '9g']",MBC,9.38,PG-13,Triangle,
16,"['9g', '18g', '1041g', '23g']",tvN,8.75,PG-13,Bubblegum,
6,"['1042g', '18g', '1044g']",tvN,9.53,PG-13,Newlywed Diary S1,
36,"['9g', '23g', '1037g']",MBC,9.2,PG-13,Gye Baek,
1,"['1032g', '1044g', '10g', '14g']",,9.76,PG-13,BTS Comeback Show,
16,"['23g', '26g', '6g', '7g', '9g']",KBS,9.44,PG-13,Queen of Mystery,
20,"['23g', '18g', '9g', '1041g']",KBS2,8.82,PG-13,The Thorn Birds,
16,"['9g', '23g', '6g', '24g']",KBS,7.5,G,I am Your Teacher,
