# episodes,genre,network,rating,s_rating,title,cast,director,screenwriter
190,Lifestyle&Variety Entertainment Reality VarietyShow,Kbs,9.03,PG-13,The Return of Superman,LeeBeomSoo LeeHwiJae KiTaeYoung LeeDongGook OhJiHo YangDongGeun InGyoJin ChooSungHoon SongIlGook UhmTaeWoong Eugene SoYiHyun,[],[]
50,KoreanDrama Romance Drama Food&Cooking,Mbc,8.93,PG-13,A Hundred Years' Inheritance,LeeJungJin YoonAhJung Eugene ShinGoo KwonOhJoong ShimYiYoung LeeHyunWoo(1966) JungHyeSun ChoiWonYoung JunInHwa SunWooSun,JooSungWoo,KooHyunSook
20,KoreanDrama Drama Romance Costume&Period Sci-Fi&Fantasy Historical,Mbc,9.54,PG-13,The Moon Embracing the Sun,HanGaIn KimSooHyun JungIlWoo SongJaeRim ImSiwan KimYoungAe LeeWonGeun YeoJinGoo LeeTaeRi AhnNaeSang KimSoHyun YoonSeungAh BaeNooRi KimYooJung,KimDoHoon LeeSungJoon,JungEunGwol JinSooWan
16,Sci-Fi&Fantasy Romance Drama KoreanDrama,Tvn,9.01,PG-13,About Time,LeeSungKyung LeeSangYoon ImSeMi KimDongJun KimHaeSook NaYoungHee HanSeungYeon Rowoon KimSaHee YuXiaoGuang KangKiDoong KimKyuRi JungMoonSung,KimHyeongSik,ChuHyeMi
20,Drama Romance KoreanDrama MedicalDrama Melodrama Thriller&Suspense,Sbs,9.06,PG-13,Doctor Stranger,LeeJongSuk Bora ParkHaeJin JinSeYeon KangSora ParkHaeJoon ChunHoJin WonJongRye GooSeungHyun KimSangHo UhmSooJung ChoiJungWoo KangYeWon JeonGookHwan JungInKi SungByungSook KimYongGun NamMyungRyul HwangBumShik KangPhilSun,JinHyeok,ParkJinWoo
16,KoreanDrama Action&Adventure Crime&Mystery,Tvn,9.67,PG-13,Lawless Lawyer,LeeJoonGi SeoYeJi LeeHyeYoung(1962) ChoiMinSoo YeomHyeRan ChaJungWon JeonJinKi ShinEunJung AhnNaeSang LeeHanWi LeeDaeYeon,KimJinMin,YoonHyunHo
16,KoreanDrama Romance Drama,Tvn,8.73,PG-13,Cheese In The Trap,ParkHaeJin KimGoEun SeoKangJoon LeeSungKyung NamJooHyuk ParkMinJi KimHeeChan SonByungHo AhnKilKang YoonBokIn KimKiBang MoonJiYoon OhHeeJoon JiYoonHo YoonJiWon ChaJooYoung YoonYeJoo,LeeYoonJung,SoonGgi KimNamHee
20,Drama KoreanDrama Romance IdolDrama Comedy,Sbs,9.46,PG-13,Dear Fair Lady Kong Shim,NamgoongMin Minah SeoHyoRim OnJooWan OhHyunKyung KimByungOk JungHyeSun KyunMiRi WooHyun KimIlWoo ParkSiEun(2001),BaekSooChan,LeeHeeMyung
32,Comedy Drama KoreanDrama Romance,Sbs,9.14,PG-13,The Undateables,NamgoongMin HwangJungEum ChoiTaeJoon OhYoonAh ShimHyeJin LeeMoonShik JoDalHwan JungMoonSung LeeJooYeon,KimYooJin,LeeJaeYoon
79,Entertainment VarietyShow Comedy Reality,Mbc,9.3,PG-13,Home Alone,LeeSiEon ParkNaRae JunHyunMoo HenryLau YoonHyunMin,Writer:KimDoHyun,KimDoHyun
16,Drama KoreanDrama Romance Comedy,Mbc,9.51,PG-13,Shopping King Louie,SeoInGuk NamJiHyun YoonSangHyun ImSeMi KimYoungOk UhmHyoSup KimKyuChul HwangYoungHee KimByungChul LeeJaeKyoon OhDaeHwan,LeeSangYeob,OhJiYoung
16,Drama KoreanDrama Action&Adventure Romance,Tvn,9.33,PG-13,The K2,JiChangWook SongYoonAh Yoona JoSungHa SonTaeYoung JoDongHyuk KimKapSoo LeeJungJin LeeYeEun,KwakJungHwan,JangHyeokRin
21,Comedy Drama Romance KoreanDrama,Tvn,9.19,PG-13,Emergency Couple,ChoiJinHyuk SongJiHyo LeePilMo ChoiYeoJin ParkJiIl JunSooKyung JunSooJin ParkDooShik YoonJongHoon Clara ParkJoonGeum KwonMin ChoiBumHo KimKangHyun KangShinIl LeeMiYoung ImHyunSung LeeSunAh,KimCheolKyu,ChoiYoonJung
52,Drama KoreanDrama Melodrama Romance,Kbs,9.26,PG-13,My Golden Life,ParkShiHoo ShinHyeSun LeeTaeHwan SeoEunSoo YooInYoung LeeTaeSung JeonNoMin KimHyeOk ChunHoJin NaYoungHee ChoiGwiHwa ShinHyunSoo,KimHyungSuk,SoHyeonKyeong
187,Comedy Entertainment Reality VarietyShow Travel,Kbs,9.49,PG-13,2 Days and 1 Night,ChaTaeHyun JungJoonYoung KimJongMin Defconn KimJoonHo YoonShiYoon,[],[]
16,Comedy KoreanDrama Drama Romance IdolDrama Music,Sbs,9.23,PG-13,You’re Beautiful,LeeHongKi ParkShinHye JungYongHwa Uee JangGeunSuk KimSungRyung JungChan KimInKwon JangWonYoung KangSooHan ChoiRan BaeGeuRin,HongSungChang,HongJungEun HongMiRan
82,Entertainment VarietyShow Comedy Reality,Sbs,9.29,PG-13,My Little Old Boy,ParkSooHong KimJongKook TonyAn KimGunMo LeeSangMin LeeSunMi JiInSook LimYeoSoon LeeOkJin ChoHyeSun ShinDongYup SeoJangHoon,KwakSeungyeong ChoiSohyeong RyuJihwan,YookSoyoung KangSeunghui ChoiSeungyeon SinYujin YeonChorong KimJiye KimHyeonjin ChoiNamu
