title,content
Goong,Comedy KoreanDrama Drama Romance Sci-Fi&Fantasy KimJeongHoon YoonEunHye JooJiHoon SongJiHyo LeeYoonJi ImYeJin KangNamGil ChoiSungJoon(1983) LeeYeonDoo YoonYooSun ShimHyeJin KimHyeJa JunSooYun WonMiWon LeeHoJae KimSuk LeeEun RyuShiHyun ChoiBoolAm JangMiHee JunJiAe LeeYongJoo ParkChanHwan HwangInRoe KimDoHyung InEunA ParkSoHee
UNDER NINETEEN,VarietyShow Entertainment KimSoHyun Eunhyuk Solji Crush Gaeko Choiza [] []
School 2017,IdolDrama Drama KoreanDrama Romance KimSejeong KimJungHyun(1990) JangDongYoon HanSunHwa HanJooWan ParkSeWan Rowoon ChoiSungMin SeolInAh SungJiRu ParkChulMin LeeJaeYong LeeJongWon MinSungWook ParkJinSuk JungChanMi KimSeungWon
Who Are You,KoreanDrama Romance Thriller&Suspense IdolDrama KimSoHyun NamJooHyuk YookSungjae LeePilMo KimMinSuk KimBoRa JungSooYoung JungInKi ParkHwanHee LeeDavid BaekSangHoon KimHyunJung KimMinJung ImYeJin
Hotel King,Drama Romance KoreanDrama Melodrama Alex LeeDaHae LeeDongWook WangJiHye ImSeulong ParkChulMin LeeJooYeon KimYeWon LeeDeokHwa LeeDoYun JiIlJoo KimHaeSook N YooGun GoYoon KimSunYoung(1976) JinTaeHyun ChoiSangHoon GongHyunJoo JungSukYong LeeSangMi KimSunHyuk KimKyuSun GooBonIm SeoYiAhn KimDaeJin Ashbun JoEunJung
Mama Fairy and the Woodcutter,Romance KoreanDrama IdolDrama MoonChaeWon YoonHyunMin SeoJiHoon KangMina AhnYoungMi GoDooShim JunSooJin HwangYoungHee AhnKilKang KimMinKyu(1988) KimYunCheol DolBae YooKyungSun
Playful Kiss,Comedy KoreanDrama Drama Romance LeeTaeSung LeeSiYoung KimHyunJoong JungSoMin YoonSeungAh AbigailAlderete ChoiWonHong KangNamGil HwangInRoe KimDoHyung KimJungHyun KoEunNim KaoruTada
Witch's Love,Sci-Fi&Fantasy Romance IdolDrama KoreanDrama HyunWoo YoonSoHee LeeHongbin KimYoungOk GoSooHee ChoiJaeSup ChoiTaeHwan ParkChanYool SonEunHye
Revenge Note 1,Romance Comedy Action&Adventure WebDrama IdolDrama KoreanDrama ChaEunWoo ParkSolomon KimHyangGi KimHwanHee JiGeonWoo ParkMiSun LeeDooIl ParkKyungLim HwangTaeKwang SeoWonTae HanSangIm KimJongSun
Kill Me Heal Me,Comedy Romance MedicalDrama KoreanDrama OhMinSeok KimYooRi ParkSeoJoon HwangJungEum JiSung ChoiWonYoung LeeSiEon KimHeeJung GoChangSuk AhnNaeSang ParkJoonGyu KimJinMan JinSooWan
